TimeStep Hunter1_X Hunter1_Y Hunter2_X Hunter2_Y Hunter3_X Hunter3_Y
31 1.871995536348005 1.7743529528815998 2.0579058690296725 1.7507281352300197 2.1415036910257186 1.576508950733114
32 1.8736800676846552 1.7814940074895276 2.0573270950068028 1.7570205938536674 2.1403656636175583 1.5864439842407592
33 1.8666206178890217 1.7885766742256237 2.0563076580243425 1.7633218618575484 2.13784678203956 1.5961215480347164
34 1.8766097556503165 1.7890426306548761 2.0522223687099532 1.769056370249018 2.1352537853454123 1.6057795177330263
35 1.86832334005103 1.794640426945989 2.051942878688896 1.775934454286471 2.1325972100530635 1.6154201927711256
36 1.8697324898961607 1.7992760785418795 2.0431400372714044 1.7806789234746248 2.1298232948684017 1.6250277630169876
37 1.8614346749085608 1.8048569634120213 2.037514100603038 1.7889462581370026 2.1293041463868576 1.6350142781739123
38 1.8531309329840961 1.8104290253977524 2.0296494167365373 1.795122563606128 2.12865938856703 1.6449934703414328
39 1.8478272539499823 1.8189067011262523 2.0278117666553945 1.8049522654619068 2.127768683123577 1.654953723133076
40 1.8454479224450562 1.8262522089789854 2.025569786370942 1.8146977012511343 2.126426223774615 1.6648632039432414
41 1.8551779513649318 1.8239442803460406 2.0231093962744118 1.824390300316736 2.124682301764551 1.6747099657659419
42 1.84655596534085 1.8290099831792759 2.020825438953215 1.8341259842272848 2.1225835502773407 1.6844872471992858
43 1.8393202436558578 1.8359124701964902 2.0157446645267547 1.8427390975411981 2.1201133051581564 1.6941773400758393
44 1.8327010114147935 1.8434081868763315 2.011334412086034 1.8517140436451882 2.117339971351612 1.7037850779597647
45 1.8271522250428471 1.8515007113601314 2.0074415810473503 1.8609252243768424 2.115934275665495 1.7136857857112773
46 1.8240907484136197 1.858439736024593 2.0041490416575463 1.8703676376026124 2.1143021413518 1.7235516927321441
47 1.8337765609316203 1.8559527636534767 2.0014190986354143 1.8799877937417477 2.112306322895165 1.733350504480768
48 1.8243748483650062 1.8593597863364266 2.002261350333901 1.889952260768041 2.109914869295608 1.7430603413959034
49 1.8148199164710614 1.8623099177639233 2.000839424372861 1.8998506504576653 2.107054731568496 1.7526425964315422
50 1.8054184637434456 1.8657176582637476 1.9982394341446699 1.9095067388843745 2.1023948376459884 1.7614904998918064
51 1.7964428396366212 1.8701265328127192 1.9937915218129993 1.9184630818199366 2.097642996108334 1.7702893636305816
52 1.7910578384466145 1.8752216253924416 1.9881285301476956 1.926705079851672 2.0928018626218545 1.7790394167532213
53 1.7991622195981118 1.878389768258785 1.9805293221093954 1.933205236447975 2.0878859993463266 1.787747705646325
54 1.7969965793594393 1.882998066910659 1.9741333325460793 1.940892324084416 2.0829366340694833 1.796436996490229
55 1.7927851824491892 1.8877332275296794 1.9689633746698738 1.947868560673669 2.0779120831211912 1.8050830283318646
56 1.7883507873333666 1.8923828019323992 1.96405182108956 1.9542164711747319 2.0728218585645664 1.8136905602295883
57 1.7838936586334977 1.8969351746636676 1.958817989385897 1.9600988624151796 2.075860698001634 1.8041634702240117
58 1.7797100114106807 1.9013891838985728 1.9525976114042343 1.9585265965433791 2.070783851428132 1.812778899737168
59 1.7747273681156013 1.9057000502507435 1.9615628251873196 1.9622806810075417 2.06570861092041 1.8213952754740603
60 1.773429428779674 1.9101401408697711 1.9570803784832598 1.9712197898188606 2.060765639638703 1.830088205926586
61 1.7697785735066656 1.9148746169666993 1.953039951442951 1.98036719171796 2.063800507450651 1.8205598502536304
62 1.7661208443745646 1.9196191210794495 1.9549747522056342 1.986605625716038 2.0587422128228354 1.8291861855541356
63 1.763402483745632 1.9244547541748034 1.9527338732101263 1.9935377795482054 2.05365010699461 1.8377926045213826
64 1.760002273920146 1.9293924355442869 1.9486128341473878 2.0006437903502956 2.0484999294785666 1.8463643987779506
65 1.756013103614715 1.9343028361472534 1.9444875100694836 2.0067512543173507 2.0432828904522466 1.854895664670039
66 1.7517992536008034 1.9391134795296239 1.9395840394377948 2.0126672593178228 2.0459607113079983 1.8452608690713532
67 1.7477968333691034 1.943308705886011 1.94068359833418 2.015180836082436 2.040679119520064 1.853752322786022
68 1.7445123820501987 1.9471652435167925 1.9372894435024128 2.0205047024646774 2.035425496280368 1.8622611084138043
69 1.74053082344417 1.950816628013854 1.9319284308536218 2.026881050900556 2.0301443356947857 1.8707528303493746
70 1.7359451624501172 1.9542816192406463 1.925646276848601 2.033676285413094 2.0325711839759606 1.8610517786000855
71 1.7314278866100732 1.9575792613468366 1.9259243544316624 2.0362047472735867 2.0271498574802536 1.8694547073100694
72 1.7275338907196793 1.9608522576309042 1.9220463651823585 2.0409886179259047 2.0217563244441408 1.8778755025123246
73 1.7231451518304322 1.964162481672247 1.9159017465668504 2.0466437604045495 2.0163582949826377 1.886293416202534
74 1.7182260866678927 1.9674669852975057 1.9085884587499087 2.0525718744611368 2.018517481155868 1.8765293027390726
75 1.7135530312947604 1.970426948464592 1.9026852207849507 2.0517424853751436 2.013005854554649 1.884873281524051
