TimeStep Hunter1_X Hunter1_Y Hunter2_X Hunter2_Y Hunter3_X Hunter3_Y
140 1.7652 0.6228 1.7312 0.7379 1.5905 0.5377
141 1.7750 0.6246 1.7381 0.7368 1.6003 0.5358
142 1.7697 0.6162 1.7392 0.7338 1.5953 0.5341
143 1.7795 0.6181 1.7449 0.7318 1.6035 0.5311
144 1.7741 0.6097 1.7453 0.7279 1.5978 0.5275
145 1.7839 0.6118 1.7506 0.7255 1.6071 0.5239
146 1.7785 0.6033 1.7505 0.7211 1.6022 0.5200
147 1.7763 0.5936 1.7556 0.7186 1.6117 0.5168
148 1.7860 0.5957 1.7525 0.7095 1.6022 0.5136
149 1.7959 0.5974 1.7556 0.7081 1.6121 0.5122
150 1.8058 0.5984 1.7478 0.7144 1.6220 0.5112
151 1.8156 0.6005 1.7402 0.7164 1.6319 0.5099
152 1.8076 0.5945 1.7425 0.7168 1.6418 0.5083
153 1.8023 0.5860 1.7463 0.7151 1.6478 0.5053
154 1.7935 0.5812 1.7532 0.7080 1.6382 0.5024
155 1.7902 0.5718 1.7629 0.7053 1.6287 0.4994
156 1.7999 0.5740 1.7714 0.7001 1.6194 0.4956
157 1.7933 0.5665 1.7677 0.6908 1.6158 0.4909
158 1.8032 0.5682 1.7725 0.6874 1.6256 0.4889
159 1.8130 0.5699 1.7785 0.6857 1.6355 0.4882
160 1.8229 0.5716 1.7859 0.6848 1.6455 0.4877
161 1.8327 0.5734 1.7942 0.6841 1.6555 0.4868
162 1.8425 0.5756 1.8031 0.6837 1.6654 0.4858
163 1.8406 0.5657 1.7940 0.6877 1.6599 0.4858
164 1.8503 0.5680 1.8036 0.6851 1.6692 0.4835
165 1.8602 0.5695 1.8003 0.6900 1.6791 0.4821
166 1.8699 0.5721 1.7974 0.6907 1.6891 0.4812
167 1.8614 0.5667 1.7941 0.6899 1.6848 0.4795
168 1.8530 0.5613 1.7926 0.6841 1.6933 0.4761
169 1.8485 0.5524 1.7998 0.6831 1.6991 0.4735
170 1.8582 0.5551 1.8094 0.6806 1.6892 0.4721
171 1.8505 0.5487 1.8189 0.6772 1.6819 0.4691
172 1.8478 0.5390 1.8286 0.6748 1.6909 0.4646
173 1.8576 0.5412 1.8371 0.6696 1.6809 0.4633
174 1.8674 0.5431 1.8436 0.6658 1.6908 0.4618
175 1.8772 0.5449 1.8499 0.6637 1.7008 0.4617
176 1.8871 0.5467 1.8568 0.6630 1.7108 0.4621
177 1.8969 0.5486 1.8641 0.6626 1.7208 0.4630
178 1.9067 0.5504 1.8720 0.6628 1.7307 0.4639
179 1.9165 0.5524 1.8804 0.6632 1.7407 0.4649
180 1.9263 0.5543 1.8894 0.6640 1.7506 0.4657
181 1.9361 0.5566 1.8988 0.6650 1.7606 0.4664
182 1.9301 0.5486 1.8956 0.6591 1.7525 0.4697
183 1.9399 0.5506 1.9022 0.6600 1.7603 0.4691
184 1.9497 0.5525 1.9098 0.6615 1.7703 0.4689
185 1.9596 0.5538 1.9034 0.6691 1.7803 0.4691
186 1.9694 0.5561 1.8976 0.6733 1.7903 0.4694
187 1.9790 0.5586 1.9003 0.6762 1.7964 0.4664
188 1.9705 0.5534 1.9052 0.6776 1.8039 0.4636
189 1.9639 0.5459 1.9073 0.6728 1.8063 0.4594
190 1.9735 0.5488 1.9124 0.6718 1.7966 0.4619
191 1.9649 0.5437 1.9079 0.6718 1.7899 0.4618
192 1.9558 0.5395 1.9170 0.6678 1.7989 0.4583
193 1.9511 0.5307 1.9269 0.6659 1.7890 0.4589
194 1.9608 0.5331 1.9351 0.6615 1.7790 0.4587
195 1.9706 0.5353 1.9406 0.6583 1.7888 0.4570
196 1.9804 0.5375 1.9456 0.6566 1.7988 0.4578
197 1.9901 0.5396 1.9516 0.6567 1.8085 0.4600
198 1.9999 0.5416 1.9587 0.6578 1.8182 0.4626
199 2.0097 0.5438 1.9670 0.6595 1.8279 0.4649
200 2.0194 0.5459 1.9758 0.6613 1.8377 0.4671
201 2.0292 0.5482 1.9850 0.6633 1.8474 0.4691
202 2.0389 0.5504 1.9944 0.6654 1.8569 0.4709
203 2.0488 0.5520 1.9893 0.6740 1.8664 0.4727
204 2.0585 0.5545 1.9860 0.6784 1.8758 0.4745
205 2.0681 0.5572 1.9892 0.6820 1.8807 0.4729
206 2.0777 0.5601 1.9933 0.6844 1.8858 0.4720
207 2.0870 0.5636 2.0007 0.6863 1.8958 0.4728
208 2.0964 0.5672 2.0089 0.6881 1.9058 0.4736
209 2.0877 0.5623 2.0173 0.6898 1.9157 0.4746
210 2.0973 0.5649 2.0207 0.6865 1.9237 0.4762
211 2.1070 0.5675 2.0293 0.6916 1.9333 0.4788
212 2.0983 0.5626 2.0344 0.6928 1.9271 0.4796
213 2.1078 0.5656 2.0389 0.6885 1.9351 0.4766
214 2.0994 0.5603 2.0393 0.6916 1.9286 0.4794
215 2.1088 0.5634 2.0489 0.6889 1.9354 0.4780
216 2.1185 0.5661 2.0514 0.6925 1.9397 0.4772
217 2.1280 0.5691 2.0512 0.6955 1.9404 0.4801
218 2.1376 0.5721 2.0558 0.6983 1.9495 0.4792
219 2.1469 0.5757 2.0628 0.7007 1.9595 0.4792
220 2.1562 0.5794 2.0704 0.7023 1.9695 0.4795
221 2.1476 0.5743 2.0739 0.6998 1.9795 0.4801
222 2.1572 0.5770 2.0834 0.7029 1.9869 0.4817
223 2.1667 0.5800 2.0891 0.7056 1.9868 0.4856
224 2.1760 0.5837 2.0950 0.7084 1.9924 0.4866
225 2.1673 0.5787 2.0975 0.7064 2.0024 0.4863
226 2.1769 0.5816 2.1071 0.7092 2.0081 0.4870
227 2.1684 0.5764 2.1102 0.7119 2.0026 0.4926
228 2.1779 0.5796 2.1188 0.7068 2.0042 0.4902
229 2.1875 0.5823 2.1226 0.7118 2.0136 0.4937
230 2.1970 0.5853 2.1229 0.7156 2.0112 0.4995
231 2.2065 0.5885 2.1253 0.7193 2.0145 0.5010
232 2.2160 0.5916 2.1314 0.7228 2.0245 0.5008
233 2.2255 0.5948 2.1390 0.7260 2.0344 0.5019
234 2.2349 0.5981 2.1473 0.7290 2.0443 0.5036
235 2.2444 0.6014 2.1560 0.7318 2.0541 0.5055
236 2.2536 0.6053 2.1648 0.7345 2.0639 0.5074
237 2.2628 0.6092 2.1689 0.7329 2.0738 0.5092
238 2.2720 0.6131 2.1784 0.7361 2.0835 0.5114
239 2.2633 0.6082 2.1879 0.7394 2.0934 0.5131
240 2.2728 0.6112 2.1973 0.7426 2.0991 0.5149
241 2.2823 0.6143 2.1991 0.7419 2.1027 0.5190
242 2.2918 0.6174 2.2075 0.7473 2.1110 0.5223
243 2.3010 0.6214 2.2131 0.7523 2.1119 0.5293
244 2.3102 0.6254 2.2156 0.7515 2.1168 0.5303
245 2.3193 0.6295 2.2209 0.7511 2.1268 0.5305
246 2.3285 0.6335 2.2301 0.7550 2.1367 0.5317
247 2.3197 0.6287 2.2394 0.7587 2.1467 0.5328
248 2.3292 0.6318 2.2485 0.7629 2.1533 0.5343
249 2.3387 0.6351 2.2517 0.7631 2.1579 0.5381
250 2.3481 0.6383 2.2598 0.7682 2.1665 0.5417
251 2.3575 0.6417 2.2646 0.7688 2.1731 0.5454
252 2.3670 0.6450 2.2733 0.7738 2.1823 0.5492
253 2.3761 0.6491 2.2823 0.7781 2.1889 0.5521
254 2.3852 0.6532 2.2914 0.7822 2.1978 0.5533
255 2.3943 0.6574 2.3006 0.7861 2.2077 0.5542
256 2.3857 0.6523 2.3098 0.7901 2.2176 0.5555
257 2.3952 0.6554 2.3193 0.7933 2.2238 0.5574
258 2.4046 0.6588 2.3226 0.7938 2.2276 0.5636
259 2.4140 0.6621 2.3307 0.7998 2.2341 0.5696
260 2.4233 0.6658 2.3362 0.8058 2.2435 0.5729
261 2.4144 0.6613 2.3358 0.8052 2.2351 0.5783
262 2.4237 0.6650 2.3400 0.8043 2.2282 0.5789
263 2.4330 0.6686 2.3429 0.8052 2.2382 0.5788
264 2.4424 0.6721 2.3476 0.8068 2.2481 0.5805
265 2.4518 0.6756 2.3540 0.8088 2.2580 0.5814
266 2.4611 0.6791 2.3623 0.8142 2.2677 0.5838
267 2.4701 0.6835 2.3709 0.8193 2.2697 0.5905
268 2.4790 0.6880 2.3749 0.8203 2.2751 0.5923
269 2.4880 0.6925 2.3816 0.8216 2.2851 0.5932
270 2.4969 0.6970 2.3898 0.8230 2.2949 0.5952
271 2.5056 0.7020 2.3997 0.8227 2.3046 0.5976
272 2.4962 0.6986 2.4094 0.8254 2.3142 0.6003
273 2.5055 0.7021 2.4156 0.8332 2.3210 0.6037
274 2.5145 0.7064 2.4218 0.8411 2.3259 0.6107
275 2.5235 0.7108 2.4253 0.8441 2.3298 0.6139
276 2.5325 0.7152 2.4319 0.8470 2.3388 0.6152
277 2.5414 0.7197 2.4405 0.8521 2.3486 0.6172
278 2.5504 0.7241 2.4493 0.8569 2.3584 0.6194
279 2.5417 0.7191 2.4581 0.8616 2.3681 0.6217
280 2.5511 0.7226 2.4671 0.8660 2.3746 0.6250
281 2.5604 0.7263 2.4726 0.8688 2.3820 0.6317
282 2.5697 0.7299 2.4773 0.8723 2.3916 0.6345
283 2.5786 0.7345 2.4805 0.8750 2.4005 0.6391
284 2.5874 0.7392 2.4870 0.8776 2.4096 0.6431
285 2.5787 0.7344 2.4949 0.8801 2.4019 0.6495
286 2.5880 0.7381 2.5030 0.8825 2.3973 0.6493
287 2.5973 0.7417 2.5085 0.8859 2.4072 0.6512
288 2.6066 0.7454 2.5145 0.8898 2.4170 0.6531
289 2.6159 0.7491 2.5225 0.8957 2.4263 0.6568
290 2.6250 0.7532 2.5297 0.9026 2.4356 0.6605
291 2.6337 0.7581 2.5315 0.9043 2.4444 0.6652
292 2.6247 0.7536 2.5366 0.9061 2.4535 0.6694
293 2.6335 0.7585 2.5442 0.9075 2.4444 0.6737
294 2.6423 0.7632 2.5501 0.9100 2.4407 0.6738
295 2.6512 0.7679 2.5561 0.9131 2.4507 0.6741
296 2.6600 0.7725 2.5629 0.9167 2.4607 0.6738
297 2.6689 0.7772 2.5703 0.9205 2.4706 0.6749
298 2.6777 0.7819 2.5781 0.9245 2.4805 0.6767
299 2.6865 0.7865 2.5864 0.9288 2.4902 0.6790
