TimeStep Obstacle1_X Obstacle1_Y Obstacle2_X Obstacle2_Y Obstacle3_X Obstacle3_Y
190 2.2435 2.5435 2.1000 2.8000 0.5806 0.7565
191 2.2506 2.5506 2.1000 2.8100 0.5877 0.7494
192 2.2576 2.5576 2.1000 2.8200 0.5948 0.7424
193 2.2647 2.5647 2.1000 2.8200 0.6018 0.7353
194 2.2718 2.5718 2.1000 2.8100 0.6089 0.7282
195 2.2789 2.5789 2.1000 2.8000 0.6160 0.7211
196 2.2859 2.5859 2.1000 2.7900 0.6231 0.7141
197 2.2930 2.5930 2.1000 2.7800 0.6301 0.7070
198 2.3001 2.6001 2.1000 2.7700 0.6372 0.6999
199 2.3071 2.6071 2.1000 2.7600 0.6443 0.6929
200 2.3142 2.6142 2.1000 2.7500 0.6513 0.6858
201 2.3213 2.6213 2.1000 2.7400 0.6584 0.6787
202 2.3284 2.6284 2.1000 2.7300 0.6655 0.6716
203 2.3354 2.6354 2.1000 2.7200 0.6725 0.6646
204 2.3425 2.6425 2.1000 2.7100 0.6796 0.6575
205 2.3496 2.6496 2.1000 2.7000 0.6867 0.6504
206 2.3566 2.6566 2.1000 2.6900 0.6938 0.6434
207 2.3637 2.6637 2.1000 2.6800 0.7008 0.6363
208 2.3708 2.6708 2.1000 2.6700 0.7079 0.6292
209 2.3779 2.6779 2.1000 2.6600 0.7150 0.6221
210 2.3849 2.6849 2.1000 2.6500 0.7220 0.6151
211 2.3920 2.6920 2.1000 2.6400 0.7291 0.6080
212 2.3991 2.6991 2.1000 2.6300 0.7362 0.6009
213 2.4061 2.7061 2.1000 2.6200 0.7433 0.5939
214 2.4132 2.7132 2.1000 2.6100 0.7503 0.5868
215 2.4203 2.7203 2.1000 2.6000 0.7574 0.5797
216 2.4274 2.7274 2.1000 2.5900 0.7645 0.5726
217 2.4344 2.7344 2.1000 2.5800 0.7715 0.5656
218 2.4415 2.7415 2.1000 2.5700 0.7786 0.5585
219 2.4486 2.7486 2.1000 2.5600 0.7857 0.5514
220 2.4556 2.7556 2.1000 2.5500 0.7928 0.5444
221 2.4627 2.7627 2.1000 2.5400 0.7998 0.5373
222 2.4698 2.7698 2.1000 2.5300 0.8069 0.5302
223 2.4768 2.7768 2.1000 2.5200 0.8140 0.5232
224 2.4839 2.7839 2.1000 2.5100 0.8210 0.5161
225 2.4910 2.7910 2.1000 2.5000 0.8281 0.5090
226 2.4981 2.7981 2.1000 2.4900 0.8352 0.5019
227 2.5051 2.8000 2.1000 2.4800 0.8423 0.4949
228 2.5122 2.7929 2.1000 2.4700 0.8493 0.4878
229 2.5193 2.7859 2.1000 2.4600 0.8564 0.4807
230 2.5263 2.7788 2.1000 2.4500 0.8635 0.4737
231 2.5334 2.7717 2.1000 2.4400 0.8705 0.4666
232 2.5405 2.7646 2.1000 2.4300 0.8776 0.4595
233 2.5476 2.7576 2.1000 2.4200 0.8847 0.4524
234 2.5546 2.7505 2.1000 2.4100 0.8918 0.4454
235 2.5617 2.7434 2.1000 2.4000 0.8988 0.4383
236 2.5688 2.7364 2.1000 2.3900 0.9059 0.4312
237 2.5758 2.7293 2.1000 2.3800 0.9130 0.4242
238 2.5829 2.7222 2.1000 2.3700 0.9200 0.4171
239 2.5900 2.7151 2.1000 2.3600 0.9271 0.4100
240 2.5971 2.7081 2.1000 2.3500 0.9342 0.4029
241 2.6041 2.7010 2.1000 2.3400 0.9412 0.3959
242 2.6112 2.6939 2.1000 2.3300 0.9483 0.3888
243 2.6183 2.6869 2.1000 2.3200 0.9554 0.3817
244 2.6253 2.6798 2.1000 2.3100 0.9625 0.3747
245 2.6324 2.6727 2.1000 2.3000 0.9695 0.3676
246 2.6395 2.6656 2.1000 2.2900 0.9766 0.3605
247 2.6466 2.6586 2.1000 2.2800 0.9837 0.3534
248 2.6536 2.6515 2.1000 2.2700 0.9907 0.3464
249 2.6607 2.6444 2.1000 2.2600 0.9978 0.3393
250 2.6678 2.6374 2.1000 2.2500 1.0049 0.3322
251 2.6748 2.6303 2.1000 2.2400 1.0120 0.3252
252 2.6819 2.6232 2.1000 2.2300 1.0190 0.3181
253 2.6890 2.6162 2.1000 2.2200 1.0261 0.3110
254 2.6961 2.6091 2.1000 2.2100 1.0332 0.3039
255 2.7031 2.6020 2.1000 2.2000 1.0402 0.2969
256 2.7102 2.5949 2.1000 2.1900 1.0473 0.2898
257 2.7173 2.5879 2.1000 2.1800 1.0544 0.2827
258 2.7243 2.5808 2.1000 2.1700 1.0615 0.2757
259 2.7314 2.5737 2.1000 2.1600 1.0685 0.2686
260 2.7385 2.5667 2.1000 2.1500 1.0756 0.2615
261 2.7455 2.5596 2.1000 2.1400 1.0827 0.2545
262 2.7526 2.5525 2.1000 2.1300 1.0897 0.2474
263 2.7597 2.5454 2.1000 2.1200 1.0968 0.2403
264 2.7668 2.5384 2.1000 2.1100 1.1039 0.2332
265 2.7738 2.5313 2.1000 2.1000 1.1110 0.2262
266 2.7809 2.5242 2.1000 2.0900 1.1180 0.2200
267 2.7880 2.5172 2.1000 2.0800 1.1251 0.2271
268 2.7950 2.5101 2.1000 2.0700 1.1322 0.2341
269 2.8000 2.5030 2.1000 2.0600 1.1392 0.2412
270 2.7929 2.4959 2.1000 2.0500 1.1463 0.2483
271 2.7859 2.4889 2.1000 2.0400 1.1534 0.2554
272 2.7788 2.4818 2.1000 2.0300 1.1605 0.2624
273 2.7717 2.4747 2.1000 2.0200 1.1675 0.2695
274 2.7646 2.4677 2.1000 2.0100 1.1746 0.2766
275 2.7576 2.4606 2.1000 2.0000 1.1817 0.2836
276 2.7505 2.4535 2.1000 1.9900 1.1887 0.2907
277 2.7434 2.4464 2.1000 1.9800 1.1958 0.2978
278 2.7364 2.4394 2.1000 1.9700 1.2029 0.3049
279 2.7293 2.4323 2.1000 1.9600 1.2099 0.3119
280 2.7222 2.4252 2.1000 1.9500 1.2170 0.3190
281 2.7151 2.4182 2.1000 1.9400 1.2241 0.3261
282 2.7081 2.4111 2.1000 1.9300 1.2312 0.3331
283 2.7010 2.4040 2.1000 1.9200 1.2382 0.3402
284 2.6939 2.3969 2.1000 1.9100 1.2453 0.3473
285 2.6869 2.3899 2.1000 1.9000 1.2524 0.3544
286 2.6798 2.3828 2.1000 1.8900 1.2594 0.3614
287 2.6727 2.3757 2.1000 1.8800 1.2665 0.3685
288 2.6656 2.3687 2.1000 1.8700 1.2736 0.3756
289 2.6586 2.3616 2.1000 1.8600 1.2807 0.3826
290 2.6515 2.3545 2.1000 1.8500 1.2877 0.3897
291 2.6444 2.3475 2.1000 1.8400 1.2948 0.3968
292 2.6374 2.3404 2.1000 1.8300 1.3019 0.4038
293 2.6303 2.3333 2.1000 1.8200 1.3089 0.4109
294 2.6232 2.3262 2.1000 1.8100 1.3160 0.4180
295 2.6162 2.3192 2.1000 1.8000 1.3231 0.4251
296 2.6091 2.3121 2.1000 1.7900 1.3302 0.4321
297 2.6020 2.3050 2.1000 1.7800 1.3372 0.4392
298 2.5949 2.2980 2.1000 1.7700 1.3443 0.4463
299 2.5879 2.2909 2.1000 1.7600 1.3514 0.4533
